groundTruth,predicted
"
Correctional Health Care Services, NO, Business function specific software, ","
Correctional Health Care Services, NO, Business function specific software, "
"
","
"
"
1.0, Public health administration, ","
1.0, Public health administration, "
"
","
"
"
NO, ","
NO, "
"
Publication, Strengths Finder 2.0, Author: Tom Rath, Hardcover, ISBN-13: 9781595, Published Products, ","
 publication, 55101500.0, Published Products, 

### Response:
 publication, 55000000.0, Published Prod"
"
nan, ","
nan, "
"
Fleet, Water Resources, Department of, nan, Fuels, ","
Fleet, Water Resources, Department of, nan, Fuels, "
"
Personal Services, Informal Competitive, Biological laboratory services, ","
Personal Services, Services are specifically exempt by statute, Blood ana"
"
4500223365, Engineering and Research and Technology Based Services, ","
4500223957, Engineering and Research and Technology Based Services, "
"
08/08/2013, NON-IT Goods, GCS Supplies Inc, $183.60, 26110000.0, ","
08/07/2013, NON-IT Goods, GCS Supplies Inc, $18.20, 26110000.0, 
"
"
","
"
"
2UI4J662, Emergency Purchase, City of Chico Fire Department, To provide technical expertise as a member of an incident management team, Refuse disposal and treatment, ","
2UI4J053, Emergency Purchase, COUNTY OF NAPA, Local government team member needed for a going fire, Refuse disposal and treatment,  Refuse disposal and treatment,"
"
2012-2013, Informal Competitive, Pens, 60121524.0, 60120000.0, ","
2012-2013, Informal Competitive, gel pens, 60121524.0, 60120000"
"
","
"
"
12341.0, NO, 92653
(33.595874, -117.702101), ","
12341.0, NO, 92653
(33.595874, -117.702101), "
"
CA-MB CA-SB MBE SB, Heating and ventilation and air circulation, ","
CA-MB CA-SB MBE SB WBE, Heating and ventilation and air circulati"
"
Toxic Substances Control, Department of, 31245.0, 1.0, 80101507.0, 80101500.0, 80000000.0, ","
Correctional Health Care Services, 25850.0, 1.0, 80101507.0, 80101500.0, 80000000.0, 

### "
"
12/01/2014, nan, $1588.18, 41113700.0, Electronic and communication measuring and testing instruments, 41110000.0, ","
12/01/2014, nan, $1588.18, 41113700.0, Laboratory stands and racks and trays, 41110000.0, 

### Response"
"
IT Services, nan, RM INDUSTRIES, $5850.48, Industrial Cleaning Services, ","
NON-IT Services, Emergency Contract, RM INDUSTRIES INC, $5850.48, Industr"
"
","
"
"
nan, 14000000.0, ","
nan, 14000000.0, "
"
order #15ndg0423A, Next Day Gourmet, Invoice batching, 42230000.0, Medical Equipment and Accessories and Supplies, ","
Order #15sofo1118, Batching Miscellaneous Food Contract vendor invoices for payment., 42230000.0, Medical Equipment"
"
nan, nan, $1536.00, 56100000.0, 95696
(38.43, -122.02), ","
nan, nan, $1536.00, 56100000.0, 95696
(38.43, -122.02), "
"
08/15/2014, nan, 14GOB001, Services are specifically exempt by statute, Services are specifically exempt by statute, ","
09/23/2014, nan, M4001431, Personal Services, Services are specifically exempt by statute, 
Department of Justice Ser"
"
2012-2013, 13-009, 55452.0, ","
2012-2013, 3169331, 1432080."
"
nan, SB/DVBE Option, ewaste, 2.0, Recycling of computer based products, ","
nan, Informal Competitive, e waste, 200.0, Recycling of computer based p"
"
01/22/2014, Gilbane Building Company, Construction Management Services for the Ironwood State Prison Heating
Ventilation and Air Conditioning System., 1.0, ","
03/19/2014, The MRC Contracting, The MRC Contracting, 1.0,  
              "
"
TA-13013, nan, Maintenance Services for Cal-Photo Retrieval System, 95662
(38.685452, -121.222898), ","
P1210234, nan, maintenance, 95662
(38.685452, -121.222898), 

### Response:
10-SA-58, nan"
"
40140000.0, ","
40140000.0, "
"
1.0, 86101714.0, ","
1.0, 86101714.0, "
"
$18606.80, ","
$7418.40, 
"
"
2012-2013, W1207, 1087660.0, 44000000.0, ","
2012-2013, W1269, 1087660.0, 44000000.0, "
"
4500148554, 50445600.0, ","
4500148558, 50445400.0, "
"
NO, $401.20, ","
NO, $33.50,  "
"
NO, 43232202.0, ","
NO, 43232202.0, "
"
IT Goods, 1087660.0, Office Equipment and Accessories and Supplies, ","
NON-IT Goods, 1087660.0, Office Equipment and Accessories and Suppli"
"
nan, Fuel for Equip. 14R031, 15100000.0, ","
nan, Fuel for Equip. 14R031, 15100000.0, "
"
nan, HAGUE CORP DBA WESTERN CHAIN SAW, $15.00, ","
nan, Sierra Coast Materials LLC, $13.00,       "
"
Information Technology Broadcasting and Telecommunications, ","
Information Technology Broadcasting and Telecommunications, "
"
72103300.0, ","
72103300.0, "
"
Correctional Health Care Services, CDCR Forms, 14111823.0, Control forms or control books, 14000000.0, ","
Correctional Health Care Services, CDCR Forms, 14111823.0, Control forms or control books, 14000000.0, "
"
nan, nan, ","
nan, nan, "
"
1001584.0, nan, ","
1001584.0, nan, "
"
11/27/2012, NON-IT Goods, 27113201, Hand tools, Tools and General Machinery, ","
11/26/2012, IT Goods, 27113201
39121630, Hand tools, Tools and General Machin"
"
4500204046, WSCA/Coop, 1001584.0, Passive discrete components, ","
4500204078, WSCA/Coop, 1001584.0, Passive discrete components, "
"
49734.0, ","
28371.0, "
"
State Programs, 1755837.0, NO, 20.0, ","
State Programs, 1755837.0, NO, 5.0,  "
"
2012-2013, $6526.85, 46000000.0, ","
2012-2013, $5922.35, 46000000.0, "
"
nan, 13-73004, SB WBE, Leadership Development Training, $50000.00, nan, ","
nan, 13-64056, nan, workshop training, $50000.00, nan,  Education on Agi"
"
WSCA/Coop, 1001584.0, nan, $907.00, ","
WSCA/Coop, 1001584.0, nan, $917.00, "
"
","
"
"
nan, $25630.36, ","
nan, $25630.36, "
"
nan, nan, Medical Supplies, $6065.22, 30181506
42132203
42231805
42311511, 30000000.0, ","
nan, nan, Urinalysis, $6065.22, 30181506
42241802, 30000000.0, 
### Response:
nan, nan,"
"
Interagency Agreements, 1014058.0, 13-90447 A01, ","
Subvention and Local Assistance, 1075160.0, 14-90"
"
nan, nan, Syringe accessories, Patient care and treatment products and supplies, Medical Equipment and Accessories and Supplies, ","
nan, nan, Syringes without needles, Patient care and treatment products and supplies, Medical Equipment and Accessories and Suppl"
"
Services are specifically exempt by statute, nan, 90017, 11000000.0, Mineral and Textile and Inedible Plant and Animal Materials, ","
Formal Competitive, nan, 90017, 11000000.0, Mineral and Textile and Inedible Plant and Animal Materials, 

### Response:
Formal Co"
"
05/06/2013, ","
04/09/2014, "
"
","
"
"
nan, 90755, ","
nan, 90755, "
"
2013-2014, IT Goods, Forestry and Fire Protection, Department of, TRIMBLE JUNO EXTERNAL BATTERY CHARGER, $54.00, Vehicular global positioning systems, ","
2013-2014, IT Goods, Forestry and Fire Protection, Department of, TRIMBLE JUNO EXTERNAL BATTERY CHARGER, $54.00, Vehicular global positioning"
"
Interagency Agreements, 94804-6403, NO, Health administration services, Comprehensive health services, ","
Subvention and Local Assistance, 94804-6403, NO, Health administration services, Comprehensive health s"
"
03/05/2013, Services are specifically exempt by statute, Services are specifically exempt by statute, nan, 30221011
80141903, 30220000.0, ","
03/06/2013, Personal Services, Fair and Reasonable, CA-MB CA-SB, 30221011, 30220000.0, 

### Response:
"
"
nan, nan, ","
nan, nan, "
"
NO, 43211600.0, ","
NO, 43211600.0, "
"
nan, Corrections and Rehabilitation, Department of, CHILI CON CARNE BEAN CANNED, 50192703, ","
nan, Corrections and Rehabilitation, Department of, CHILI CON CARNE BEAN CANNEDProd Code: 9"
"
IT Goods, NO, ","
IT Goods, NO, "
"
07/08/2014, Personal Services, 1676720.0, $183000.00, ","
06/23/2015, Personal Services, 1609160.0, $183000.00, "
"
10/10/2013, NO, $208.00, Computer displays, ","
10/10/2013, NO, $166.00, Computer displays, "
"
4500237880, 93003, Animal trainers services, ","
4500238108, 93003, Circus performances,  perf"
"
92809, 19680.0, ","
92809, 13700.0, "
"
39101601.0, 39101600.0, 39100000.0, nan, ","
39101601.0, 39101600.0, 39100000.0, nan, "
"
12/01/2011, Contractor agrees to provide Weatherization Assistance Program services
to eligible participants residing within the designated service area,
Title 42 of the United States Code (USC) 6861 et seq., as amended, 10
Code of Federal Regulations (CFR), Part 440, 1.0, 93721
(36.733741, -119.78399), ","
07/11/2013, Contractor agrees to provide Weatherization Assistance Program
  services to eligible participants residing within Contractor's
  assigned service area, pursuant to the American Recovery and
"
"
04/08/2013, 1001584.0, 46181804, 46181804.0, ","
04/08/2013, 1001584.0, 46181811, 46181811.0, "
"
Interagency Agreements, 93151508, 93151508.0, 93150000.0, 95799
(38.580249, -121.530611), ","
Services are specifically exempt by statute, 93151517, 93151517.0, 93150000.0, 95799
(38.5"
"
Liquid crystal display LCD panels or monitors, ","
Liquid crystal display LCD panels or monitors, "
"
nan, 5.0, 24110000.0, ","
nan, 5.0, 24110000.0, "
"
NON-IT Goods, nan, NO, $10170.00, Fuels and Fuel Additives and Lubricants and Anti corrosive Materials, ","
NON-IT Goods, nan, NO, $10170.00, Fuels and Fuel Additives and Lubricants and Anti corrosive Materials, "
"
NO, 200.0, $27.36, ","
NO, 400.0, $1.70, 
"
"
VPN ISM module HSEC bundles for 2901 ISR platform, 43222500.0, 43220000.0, ","
Network security equipment, 43222500.0, 43220000.0, 

### Response:
Network"
"
14111514.0, Paper pads or notebooks, ","
14111514.0, Paper pads or notebooks, "
"
nan, $16078.00, 25101702.0, Commercial and Military and Private Vehicles and their Accessories and Components, nan, ","
nan, $16078.00, 25101702.0, Commercial and Military and Private Vehicles and their Accessories and Components, nan, "
"
Parks & Recreation, Department of, 81111805.0, System and system component administration services, 81110000.0, Engineering and Research and Technology Based Services, ","
Parks & Recreation, Department of, 81111805.0, System and system component administration services, 81110000.0, Engineering and Research and Technology Based Services, "
"
07/01/2014, 4500212734, 24101501.0, ","
07/01/2014, 4500218854, 24101501.0, "
"
nan, Communications Devices and Accessories, ","
nan, Communications Devices and Accessories, "
"
nan, Information Technology Broadcasting and Telecommunications, ","
nan, Information Technology Broadcasting and Telecommunications, "
"
nan, Medical Equipment and Accessories and Supplies, ","
nan, Medical Equipment and Accessories and Supplies, "
"
nan, ","
nan, "
"
Informal Competitive, 1.0, 95691
(38.575311, -121.560401), ","
Informal Competitive, 1.0, 95691
(38.575311, -121.560401), "
"
$2822.00, 53102306, ","
$2822.00, 53102306, "
"
NO, $2288.00, 27111702.0, 27110000.0, ","
NO, $87.00, 27111702.0, 27110000.0, 

"
"
nan, 44103103, ","
nan, 44103103, "
"
Beef, Beef: ground, diced, hot dog, link, 50111513.0, ","
Chicken, Breast, 50111513.0, 
 Chicken, minimally proc"
"
IT Goods, NO, 81112220, Computer services, 81000000.0, ","
IT Goods, NO, 81112220, Computer services, 81000000.0, "
"
Prison Industry Authority (PIA), 42142901.0, 95696
(38.43, -122.02), ","
Prison Industry Authority (PIA), 42142901.0, 95696
(38.43, -122.02), "
"
nan, ","
nan, "
"
09/19/2014, $5535.00, 94901
(37.973771, -122.51209), ","
09/19/2014, $5535.00, 94901
(37.973771, -122.51209), "
"
2012-2013, $47.70, $1908.00, 60100000.0, 60000000.0, Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies, ","
2012-2013, $30.50, $1220.00, 60100000.0, 60000000.0, Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment"
"
61300000031, nan, SB/DVBE Option, CA-MB CA-SB, ","
S27215006, nan, Informal Competitive, CA-MB CA-"
"
nan, 7931.0, Cart Two Drawer Plastic #7407, $622.60, 24000000.0, ","
nan, 7931.0, Cart Two Drawer Plastic #7407, $632.20, 24000000.0, "
"
398000000000089, Environmental Health Hazard Assessment, Office of, Personal digital assistant PDAs or organizers, 43211500.0, nan, ","
13-PO-01145, Public Health, Department of, Personal computers, 43211500.0, nan, 

### Response:
13-PO-01145, Public"
"
nan, cts 4557 insert (primer) 40mm, 1.0, 46100000.0, ","
nan, ammo, 1.0, 46100000.0, 

### Response:
nan, Ammu"
"
7-09-36-07, IT Goods, Forestry and Fire Protection, Department of, 81112306.0, ","
7-09-36-04, IT Goods, Forestry and Fire Protection, Department of, 81112306.0, "
"
nan, Justice, Department of, $807.90, ","
nan, Justice, Department of, $732.00, "
"
92590, 2.0, 25101900.0, ","
92590, 4.0, 25101900.0, "
"
90272, $570.00, 42172105, ","
90272, $570.00, 42172105, "
"
Fair and Reasonable, 44120000.0, ","
Fair and Reasonable, 44120000.0, "
"
2014-2015, $4244.37, Central nervous system drugs, ","
2014-2015, $4244.37, Central nervous system drugs, "
"
03/26/2015, 82120000.0, ","
04/08/2015, 82120000.0, "
"
2014-2015, nan, 1755826.0, 85120000.0, ","
2014-2015, nan, 1756417.0, 85120000.0, "
"
2013-2014, NON-IT Goods, NO, 15101506, Fuels, ","
2013-2014, NON-IT Goods, NO, 15101506, Fuels, "
"
Education, Department of, 93726, 86101710.0, ","
Education, Department of, 93726, 86101710.0, "
"
01/10/2013, 2012-2013, Fish and Wildlife, Department of, NO, Dry Fish Food, Live Plant and Animal Material and Accessories and Supplies, ","
01/10/2013, 2012-2013, Fish and Wildlife, Department of, NO, Dry Fish Food, Live Plant and Animal Material and Accessories and Supplies, "
"
02/25/2015, nan, ","
02/25/2015, nan, "
"
2013-2014, NON-IT Goods, nan, 3B INDUSTRIES INC, ","
2013-2014, NON-IT Goods, nan, 3B INDUSTRIES INC, "
"
WSCA/Coop, 95134, ","
WSCA/Coop, 95134, "
"
NON-IT Goods, 1730889.0, Diasol Inc, Additives, ","
NON-IT Goods, 10263.0, HSI, Wax and oils and fat"
"
01/01/2015, nan, Contractor agrees to continue to provide services and activities to
eligible participants residing in Contractor's assigned service area,
pursuant to California Government Code Section 12725 et seq., and 42
United States Code (USC) 9901et seq., as amended, 93000000.0, Politics and Civic Affairs Services, ","
04/01/2015, nan, Contractor agrees to continue to provide services and activities to
eligible participants residing in Contractor's assigned service area,
pursuant to California Government"
"
$798.11, ","
$798.11, "
"
nan, 1065902.0, 95696, ","
nan, 1065902.0, 95696, "
"
Washington Place, ","
JMC PERFORMANCE, 
"
"
02/26/2015, 81161708.0, ","
02/25/2015, 81161708.0, "
"
80111620, ","
80111620, "
"
09/27/2012, Fish and Wildlife, Department of, 10101702, 10101702.0, ","
09/28/2012, Fish and Wildlife, Department of, 10101703
10101701
1010"
"
Corrections and Rehabilitation, Department of, Prison Industry Authority, 95696, BOXER SHORT WHT 3XL 50-52, 1920.0, 53102303, ","
Corrections and Rehabilitation, Department of, Prison Industry Authority, 95696, BOXER SHORT WHT 3XL 50-52, 20.0, 53102303,  
"
"
4500191007, DIVIDERS, Industrial refrigerators, ","
4500194058, DIVIDERS, Industrial refrigerators, "
"
P1300529, Ablegov, Inc., Maintenance, ","
P1300532, Ablegov, Inc., Maintenance, "
"
Informal Competitive, 14995.0, $29.76, Manufacturing Components and Supplies, ","
Informal Competitive, 14995.0, $27.44, Manufacturing Components and Supplies, "
"
nan, ","
nan, "
"
06/30/2015, nan, Information Technology Broadcasting and Telecommunications, nan, ","
02/10/2015, nan, Information Technology Broadcasting and Telecommunications, nan, "
"
nan, NO, ","
nan, NO, "
"
2L032985, nan, 78111501.0, ","
3UI2C1657, nan, 78111501.0,"
"
nan, CA-SB SB, nan, 46100000.0, Light weapons and ammunition, ","
nan, CA-SB SB, nan, 46100000.0, Light weapons and ammunition, "
"
$8000.00, 92121602
43211731, 92121600.0, 92120000.0, ","
$8000.00, 92121602, 92121600.0, 92120000.0, 

### Res"
"
NON-IT Goods, $15373.40, 50131802, ","
NON-IT Goods, $15373.40, 50131802, "
"
nan, ","
nan, "
"
nan, Services are specifically exempt by policy, 4320.0, ","
nan, Services are specifically exempt by policy, 554.0,  "
"
12/05/2014, 2014-2015, nan, Corrections and Rehabilitation, Department of, CSP-SQ Order, Institutional food services equipment, ","
12/02/2014, 2014-2015, nan, Corrections and Rehabilitation, Department of, CSP-SQ ORDER, Institutional food services equipment, "
"
NON-IT Goods, Correctional Health Care Services, 92653, 42190000.0, Medical facility products, ","
NON-IT Goods, Correctional Health Care Services, 92653, 42190000.0, Medical facility products, "
"
08/27/2012, Emergency Contract, ","
10/18/2012, Emergency Contract, "
"
NO, 72121100.0, 93403
(35.282619, -120.660014), ","
NO, 72121100.0, 93403
(35.282619, -120.660014), "
"
08/01/2013, nan, nan, KFIVEUSA, Roads and landscape, ","
08/02/2013, nan, nan, KFIVEUSA, Roads and landscape, "
"
2963.0, 95660, ","
26133.0, 95660,"
"
3170459, NON-IT Goods, Air intake noise control enclosure, ","
3167821, NON-IT Goods, Hose or pipe clamps,                "
"
12/09/2013, 2013-2014, VALVE-GAS CONTROL, VALVE-GAS CONTROL, Manufacturing Components and Supplies, ","
12/09/2013, 2013-2014, VALVE, PELLE, AIR VALVE, PELLE, AIR VALVE, Power Generation and Distribution "
"
Industrial Relations, Department of, 36.0, 44121908, ","
Industrial Relations, Department of, 6.0, 44121908, 
"
"
NON-IT Goods, Black Toner Crtg for Color laserjet CP4005 7500PG Yield, Black Toner Crtg for Color laserjet CP4005 7500PG Yield, ","
NON-IT Goods, Toner, HP 3800 Black, Black, Black,  Yellow, 
 Cyan,  Yellow,      Yellow,    "
"
2660-021500000067-1, ","
2660- 031500000065, 
"
"
44122027.0, 44120000.0, ","
44122027.0, 44120000.0, "
"
","
"
"
NON-IT Services, medical vocational training, $4000.00, Medical vocational training services, Vocational training, ","
NON-IT Services, contract, $4000.00, Medical vocational training services, Vocational training, 

### Response:
NON"
"
08/07/2012, Vocational rehabilitation services, Vocational training, ","
07/03/2013, Vocational rehabilitation services, Vocational training, "
"
Grainger Industrial Supply, $577.60, ","
Grainger Industrial Supply, $739.40, "
"
Fleet, Petroleum and distillates, Fuels, ","
Fleet, Petroleum and distillates, Fuels, "
"
nan, KMC Maintenance And Janitorial Services, Inc., nan, $27930.48, ","
nan, Intents Emergency Response, CA-SB, $27930.48, 

### Response:
n"
"
1-12-89-52, ","
1-12-89-52, "
"
CD0042212, Food and nutrition policy planning and programs, ","
12482037, Food and nutrition policy planning and programs,  "
"
07/02/2013, NON-IT Services, Dalke & Sons Construction, Inc., 92501, NO, ","
07/08/2014, NON-IT Services, Cal-SB, Inc., 92501, NO, 

### Response:
07/"
"
06/16/2014, 06/16/2014, 3001-328, SB/DVBE Option, NO, 42000000.0, ","
05/21/2014, 04/22/2014, 13548121, Informal Competitive, NO, 420000"
"
NON-IT Goods, Gasoline or Petrol, ","
NON-IT Goods, Gasoline or Petrol, "
"
4500146234, nan, nan, Prison Industry Authority, 143.0, ","
4500146529, nan, nan, Prison Industry Authority, 400.0, "
"
NO, Toner Cartridge, Cyan (Q7581A), Printer or facsimile toner, ","
NO, Toner Cartridge, Cyan (Q7581A), Printer or facsimile toner, "
"
61356, 54101508, ","
61356, 54101508, "
"
2014-2015, Emergency Contract, Service Solutions Group, nan, installation of combi oven, installation of combi oven, ","
2014-2015, Emergency Contract, US FOODSERVICE, nan, Emergency Medical Services Agreement to provide emergency cooling"
"
1265100.0, TeelTech Power Two Kit, ","
1026449.0, forensic equipment,     "
"
95361, 44121507.0, 44120000.0, Office Equipment and Accessories and Supplies, ","
95361, 44121507.0, 44120000.0, Office Equipment and Accessories and Supplies, "
"
2012-2013, Statewide Contract, ","
2012-2013, Statewide Contract, "
"
01/22/2015, 1.0, Business function specific software, nan, ","
01/23/2015, 1.0, Business function specific software, nan, "
"
nan, ","
nan, "
"
07/23/2013, nan, $5025.00, Non alcoholic beverages, ","
07/24/2013, nan, $5025.00, Non alcoholic beverages, "
"
Statewide Contract, nan, Dental operatory articulating papers or related products, nan, ","
Statewide Contract, nan, Dental operatory articulating papers, nan, 

### Response:
Stat"
"
02/26/2015, 2014-2015, nan, $12.50, ","
02/26/2015, 2014-2015, nan, $14.00, "
"
2012-2013, 43210000.0, ","
2012-2013, 43210000.0, "
"
Passenger motor vehicles, ","
Passenger motor vehicles, "
"
08/28/2013, nan, nan, nan, 91304, RULER,12"" WOOD, ENG/METRIC, 41111604.0, 41111600.0, ","
08/28/2013, nan, nan, nan, 91304, RULER,12"" WOOD, ENG/METRIC, 41111604.0, 41111600."
"
30643, 1002568.0, NO, ","
CZ130543, 1002568.0, N"
"
nan, 1.0, 56101532, 56101532.0, ","
nan, 1.0, 56101532, 56101532.0, "
"
Correctional Health Care Services, Prison Industry Authority, 95696
(38.43, -122.02), ","
Correctional Health Care Services, Prison Industry Authority, 95696
(38.43, -122.02), "
"
4500159745, CA-DVBE CA-SBE CDVBE, 93456, NO, Office machines and their supplies and accessories, ","
4500159384, CA-DVBE CA-SBE CDVBE, 93456, NO, Office machines and their supplies and accessories, "
"
40161505, Air filters, 95742
(38.585855, -121.217204), ","
40161505, Air filters, 95742
(38.585855, -121.217204), "
"
2012-2013, name plate, ","
2012-2013, name plates,"
"
01/17/2013, 18030.0, ","
01/17/2013, 18030.0, "
"
$4500.00, 45121500.0, ","
$4500.00, 45121500.0, "
"
08/06/2014, IT Services, ","
08/24/2014, NON-IT Servic"
"
$419.80, 43201800.0, Media storage devices, ","
$441.80, 43201800.0, Media storage devices, "
"
94102, NO, 44103100.0, ","
94102, NO, 44103100.0, "
"
nan, nan, Informal Competitive, HENRY SCHEIN, nan, $3592.30, 42000000.0, Medical Equipment and Accessories and Supplies, ","
nan, nan, Fair and Reasonable, NCS Pearson Inc, nan, $3592.30, 42000000.0, Medical Equipment and Accessories and Supplies"
"
Informal Competitive, Unknown, NO, ","
Informal Competitive, Unknown, NO, "
"
nan, Parks & Recreation, Department of, $900.00, 30160000.0, nan, ","
nan, Parks & Recreation, Department of, $900.00, 30160000.0, nan, "
"
09/09/2013, nan, nan, HP 10 Gb SR SFP+ Transceiver to LC module, 5.0, $583.27, 43201500.0, ","
06/04/2014, nan, nan, HP 10 Gb SR SFP Total Price $2916.35 Classification Codes 43201553
43"
"
$36.00, 44121708.0, ","
$36.00, 44121708.0, "
"
CA-MB CA-SB, Box Archive, Boxes, 24112400.0, ","
CA-MB CA-SB, FOAM STACKERS, FOAM STACKERS, 24"
"
nan, nan, Dental Supplies, ","
nan, nan, Dental Supplies, "
"
2014-2015, nan, ","
2014-2015, nan, "
"
02/25/2013, nan, NO, 44121505.0, 44120000.0, 44000000.0, ","
02/06/2013, nan, NO, 44121505.0, 44120000.0, 44000000.0, "
"
Personal paper products, ","
Personal paper products, "
"
nan, 89432, 1.0, ","
nan, 89432, 1.0, "
"
08/13/2014, Services are specifically exempt by statute, 84130000.0, Financial and Insurance Services, ","
11/27/2014, Services are specifically exempt by statute, 84130000.0, Financial and Insurance Services, "
"
37484.0, 90801-1091, 11141600.0, ","
1016440.0, 90801-1091, 11141600.0"
"
nan, $199.92, Fiber optic cable assembly, 26120000.0, Electrical wire and cable and harness, ","
nan, $199.92, Battery adapter or accessories, 26120000.0, Electrical wire and cable and harne"
"
nan, ","
nan, "
"
09/25/2013, Petroleum and distillates, ","
09/25/2013, Petroleum and distillates, "
"
07/20/2012, Processed meat and poultry products, Food Beverage and Tobacco Products, ","
07/30/2012, Processed meat and poultry products, Food Beverage and Tobacco Products, "
"
48101524.0, 48101500.0, Service Industry Machinery and Equipment and Supplies, ","
48101524.0, 48101500.0, Service Industry Machinery and Equipment and Supplies, "
"
Services are specifically exempt by statute, nan, ","
Services are specifically exempt by statute, nan, "
"
NON-IT Goods, nan, 5.0, 92126
(32.913418, -117.141039), ","
NON-IT Goods, nan, 2.0, 92126
(32.913418, -117.141039), "
"
03/25/2015, 03/25/2015, 55121600.0, 95630
(38.670213, -121.147592), ","
03/28/2015, 03/28/2015, 55121600.0, 95630
(38.670213, -121.147592), "
"
nan, Bread, 50181901.0, nan, ","
nan, Bread, 50181901.0, nan, "
"
nan, 44103103.0, 95814
(38.580427, -121.494396), ","
nan, 44103103.0, 95814
(38.580427, -121.494396), "
"
REQ0010331, nan, 1087660.0, ","
REQ0010331, nan, 1087660.0, "
"
NON-IT Goods, ","
NON-IT Goods, "
"
nan, TOAD FOR ORACLE, 43232300.0, 43230000.0, ","
nan, QRS-13604, 43232300.0, 43230000.0, 

### "
"
3-13-70-2824E, 52679.0, NO, RedHat Software Maintenance Renewal, 81112201.0, ","
3-13-70-0239E, 1000031.0, NO, RedHat Software Maintenance Renewal, 81112201.0"
"
2014-2015, Statewide Health Planning & Development, Office of, 4726.0, $30.84, ","
2014-2015, Statewide Health Planning & Development, Office of, 4726.0, $30.84, "
"
Training Fuze/Grenade, $39130.00, ","
Training Fuze, $39130.00,         "
"
1027256.0, ","
39289.0, 

"
"
CA-DVBE CA-MB CA-SB, NO, 4.0, nan, ","
CA-DVBE CA-MB CA-SB CDVBE, NO, 6.0,"
"
7.1 XPLAT PER CONCURR USER BNDL, 43231501, ","
ALTIRIS ASSET MANAGEMENT SUITE, 43231501, 
"
"
03/22/2013, nan, NO, # M3516A, 1.0, 26111706.0, ","
03/22/2013, nan, NO, Philips Heartstart Battery,"
"
352, IT Services, Services are specifically exempt by statute, 89501, $16450.00, Software, ","
8MIL0108, IT Goods, Services are specifically exempt by statute, 89501, $16450.00, Software"
"
05/20/2015, nan, 2.0, $109.85, $219.70, 43000000.0, nan, ","
05/19/2015, nan, 5.0, $34.53, $136.30, 43000000.0, nan, 
"
"
REQ0010201, Horizon Business Solutions, Inc., $1.36, ","
REQ0010201, Horizon Business Solutions, Inc., $2.56, "
"
2012-2013, 20.0, $305.20, Blood pressure units and related products, ","
2012-2013, 1.0, $15.26, Blood pressure units and related products,   "
"
nan, CT2KIT51264BF1339 Crucial 8GB Kit, $239.73, ","
nan, CT2KIT51264BF1339 Crucial 8GB Kit, $239.03, "
"
nan, ","
nan, "
"
14-90377, NO, 1.0, 85101705, 85101705.0, Health administration services, ","
14-90377, NO, 1.0, 85101705, 85101705.0, Health administration services, "
"
nan, Crowd control equipment, 46150000.0, ","
nan, Crowd control equipment, 46150000.0, "
"
30000000.0, ","
30000000.0, "
"
10/30/2012, SB/DVBE Option, Laminating machine, heat-free, 12""W, 1/10"" max. thick
 
   , 31201600.0, ","
09/12/2012, Informal Competitive, Laminating Machine, 31201600.0, 

### Response:
09/12/2012, Informa"
"
nan, 1398400.0, 11747
(40.788271, -73.408441), ","
nan, 1398400.0, 11747
(40.788271, -73.408441), "
"
NON-IT Goods, Gasoline or Petrol, Petroleum and distillates, nan, ","
NON-IT Goods, Gasoline or Petrol, Petroleum and distillates, nan, "
"
12/12/2014, Furniture and Furnishings, ","
12/11/2014, Furniture and Furnishings, "
"
Prison Industry Authority (PIA), 73529, Refuse disposal and treatment fees, ","
Prison Industry Authority (PIA), 73529, Refuse disposal and treatment fees, "
"
2013-2014, Correctional Health Care Services, NO, $15.54, ","
2013-2014, Correctional Health Care Services, NO, $19.24, "
"
4500223477, Informal Competitive, nan, $26550.00, ","
4500222950, Fair and Reasonable, nan, $9500.00, 

"
"
34647.0, nan, ","
1629540.0, nan"
"
nan, YAMS, 50301500.0, Apples, ","
nan, YAMS, 50301500.0, Apples, "
"
9174, Increase labor from 3 to 4 hrs.  Reduce amt by $568.45, 81112201.0, 81112200.0, ","
9911, IBM CORPORATION Maint. for IBM, 81112201.0, 81112200.0, 

### Response:
9911, IB"
"
2L032985, NO, $645.00, Passenger air transportation, 78000000.0, Transportation and Storage and Mail Services, ","
2UI2L842, NO, $835.00, Passenger air transportation, 78000000.0, Transportation and Storage and Mail Services, "
"
K594754, Services are specifically exempt by statute, $2542706.00, 86101800.0, ","
K14-7000, Services are specifically exempt by statute, $2542706.00, 86101800.0,"
"
05/12/2015, REQ0015069, State Programs, 95696, ","
04/22/2015, REQ0015069, State Programs, 95696, "
"
07/18/2014, ","
07/18/2014, "
"
nan, ","
nan, "
"
2012-2013, P2240AJG, IT Goods, 43220000.0, Data Voice or Multimedia Network Equipment or Platforms and Accessories, ","
2012-2013, 4500183962, IT Goods, 43220000.0, Data Voice or Multimedia Network Equipment or Platforms and Accessories"
"
Developmental Services, Department of, ","
Developmental Services, Department of, "
"
Expert Witneses, $40000.00, 95816
(38.57219, -121.467691), ","
Expert Witneses, $40000.00, 95816
(38.57219, -121.467691), "
